"Year","imdbRating","budget_raw","worldwide_raw","domestic_raw","big_money","avg_prior_Actors_total","avg_prior_Actors_ratio","avg_prior_Writer_total","avg_prior_Writer_ratio","avg_prior_Director_total","avg_prior_Director_ratio","Comedy","Drama","Romance","Adventure","Family","Horror","Mystery","Action","Crime","Fantasy","Thriller","Sci-Fi","History","Documentary","Music","Animation","Biography","Musical","Sport","Western","War"
2007,7.1,16500000,39364948,18663911,1,133519269.818182,3.93009504191707,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,5.9,48000000,90376224,37879996,-1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008,6.1,80000000,218357961,110101975,1,92833794.6111111,3.00244065686998,0,1,140226484.166667,4.04922306476912,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007,6.2,150000000,287594577,126631277,-1,143064011.916667,3.99124999260101,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,8.1,2000000,11293790,5792822,1,20901213,1.06460887555556,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,6.4,40000000,58855732,58855732,-1,29047160.4,1.16882191155844,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2004,7.2,18000000,14488705,7739049,-1,33507220.7142857,1.4869603534031,40515021.3333333,1.49526534038801,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7.4,3300000,12405473,8093373,1,3164344.25,1.10159380555556,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,6.3,150000000,194995215,82195215,-1,94334368.8181818,1.40430101306631,963224,0.240806,344991388,3.37023835119826,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2000,7.5,6000000,20695413,18621249,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,7.2,250000,3809226,3802390,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,3.7,20000000,154218168,94514402,1,75949079.7,2.41004570518084,0,1,210346329.666667,5.26533620906205,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4.8,80000000,131159306,63313159,-1,99299564.368421,2.68106976549875,17289241,1.09889769166667,10014234,0.154065138461538,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,6.4,60000000,11427090,4426297,-1,161813098.4,2.73007309112632,0,1,213500000,2.84666666666667,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,6.7,24000000,7061637,6144806,-1,95248166.6153846,1.85363138601986,52179986.6666667,1.24277438825996,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2002,5.4,15000000,52375275,47811275,1,52338689.25,3.09324847727273,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,8,70000000,123432867,66432867,-1,116216879.75,2.15664587486842,0,1,362211740,3.6221174,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
